case_name,method,abs_error,rel_error,passed
poly_cubic_minus_quadratic,forward,1.404787397518703e-10,2.7015142259975035e-10,True
poly_cubic_minus_quadratic,backward,1.404787397518703e-10,2.7015142259975035e-10,True
poly_cubic_minus_quadratic,central,1.2597478615816726e-10,2.4225920415032144e-10,True
exp_at_0p3,backward,8.927747430220734e-11,6.613837965951903e-11,True
exp_at_0p3,forward,3.376632307094951e-11,2.5014707376384856e-11,True
sine_at_pi_over_4,forward,3.044520191508582e-11,4.3056017457501686e-11,True
exp_at_0p3,central,2.1744828160308316e-11,1.610896490674932e-11,True
sine_at_pi_over_4,central,1.3963719069920444e-11,1.974768088984931e-11,True
sine_at_pi_over_4,backward,8.240741422582687e-12,1.1654168283826188e-11,True
