method,case,case_display,a,b,n,h,exact,approx,abs_error,rel_error
trapezoidal,x_squared,"Integral of x^2 on [0,1]",0.0,1.0,4,0.25,0.3333333333333333,0.34375,0.010416666666666685,0.031250000000000056
trapezoidal,x_squared,"Integral of x^2 on [0,1]",0.0,1.0,8,0.125,0.3333333333333333,0.3359375,0.002604166666666685,0.007812500000000056
trapezoidal,x_squared,"Integral of x^2 on [0,1]",0.0,1.0,16,0.0625,0.3333333333333333,0.333984375,0.0006510416666666852,0.0019531250000000555
trapezoidal,x_squared,"Integral of x^2 on [0,1]",0.0,1.0,32,0.03125,0.3333333333333333,0.33349609375,0.00016276041666668517,0.0004882812500000555
trapezoidal,x_squared,"Integral of x^2 on [0,1]",0.0,1.0,64,0.015625,0.3333333333333333,0.3333740234375,4.069010416668517e-05,0.0001220703125000555
trapezoidal,x_squared,"Integral of x^2 on [0,1]",0.0,1.0,128,0.0078125,0.3333333333333333,0.333343505859375,1.017252604168517e-05,3.051757812505551e-05
trapezoidal,x_squared,"Integral of x^2 on [0,1]",0.0,1.0,256,0.00390625,0.3333333333333333,0.33333587646484375,2.5431315104351704e-06,7.629394531305511e-06
trapezoidal,sin_on_pi,"Integral of sin(x) on [0,pi]",0.0,3.141592653589793,4,0.7853981633974483,2.0,1.8961188979370398,0.1038811020629602,0.0519405510314801
trapezoidal,sin_on_pi,"Integral of sin(x) on [0,pi]",0.0,3.141592653589793,8,0.39269908169872414,2.0,1.9742316019455508,0.025768398054449193,0.012884199027224597
trapezoidal,sin_on_pi,"Integral of sin(x) on [0,pi]",0.0,3.141592653589793,16,0.19634954084936207,2.0,1.9935703437723395,0.006429656227660452,0.003214828113830226
trapezoidal,sin_on_pi,"Integral of sin(x) on [0,pi]",0.0,3.141592653589793,32,0.09817477042468103,2.0,1.9983933609701447,0.0016066390298552502,0.0008033195149276251
trapezoidal,sin_on_pi,"Integral of sin(x) on [0,pi]",0.0,3.141592653589793,64,0.04908738521234052,2.0,1.9995983886400375,0.00040161135996252817,0.00020080567998126408
trapezoidal,sin_on_pi,"Integral of sin(x) on [0,pi]",0.0,3.141592653589793,128,0.02454369260617026,2.0,1.9998996001842024,0.0001003998157975694,5.01999078987847e-05
trapezoidal,sin_on_pi,"Integral of sin(x) on [0,pi]",0.0,3.141592653589793,256,0.01227184630308513,2.0,1.9999749002350524,2.509976494757815e-05,1.2549882473789076e-05
trapezoidal,exp_on_01,"Integral of exp(x) on [0,1]",0.0,1.0,4,0.25,1.718281828459045,1.7272219045575166,0.008940076098471472,0.005202916046949604
trapezoidal,exp_on_01,"Integral of exp(x) on [0,1]",0.0,1.0,8,0.125,1.718281828459045,1.7205185921643018,0.002236763705256717,0.001301744375230137
trapezoidal,exp_on_01,"Integral of exp(x) on [0,1]",0.0,1.0,16,0.0625,1.718281828459045,1.7188411285799945,0.000559300120949402,0.00032549964254174896
trapezoidal,exp_on_01,"Integral of exp(x) on [0,1]",0.0,1.0,32,0.03125,1.718281828459045,1.7184216603163267,0.00013983185728161374,8.137888381617521e-05
trapezoidal,exp_on_01,"Integral of exp(x) on [0,1]",0.0,1.0,64,0.015625,1.718281828459045,1.7183167868500937,3.495839104861176e-05,2.034496929992121e-05
trapezoidal,exp_on_01,"Integral of exp(x) on [0,1]",0.0,1.0,128,0.0078125,1.718281828459045,1.718290568083478,8.739624432818616e-06,5.0862578466864835e-06
trapezoidal,exp_on_01,"Integral of exp(x) on [0,1]",0.0,1.0,256,0.00390625,1.718281828459045,1.71828401336682,2.1849077749269696e-06,1.2715654316651854e-06
trapezoidal,pi_form,"Integral of 4/(1+x^2) on [0,1]",0.0,1.0,4,0.25,3.141592653589793,3.1311764705882354,0.010416183001557666,0.003315574025695356
trapezoidal,pi_form,"Integral of 4/(1+x^2) on [0,1]",0.0,1.0,8,0.125,3.141592653589793,3.138988494491089,0.0026041590987042618,0.0008289295863130365
trapezoidal,pi_form,"Integral of 4/(1+x^2) on [0,1]",0.0,1.0,16,0.0625,3.141592653589793,3.140941612041389,0.0006510415484042298,0.00020723296117346922
trapezoidal,pi_form,"Integral of 4/(1+x^2) on [0,1]",0.0,1.0,32,0.03125,3.141592653589793,3.1414298931749745,0.00016276041481866343,5.180824911615532e-05
trapezoidal,pi_form,"Integral of 4/(1+x^2) on [0,1]",0.0,1.0,64,0.015625,3.141592653589793,3.141551963485655,4.069010413809693e-05,1.2952062417004224e-05
trapezoidal,pi_form,"Integral of 4/(1+x^2) on [0,1]",0.0,1.0,128,0.0078125,3.141592653589793,3.1415824810637516,1.0172526041518637e-05,3.238015606477444e-06
trapezoidal,pi_form,"Integral of 4/(1+x^2) on [0,1]",0.0,1.0,256,0.00390625,3.141592653589793,3.141590110458283,2.543131510268637e-06,8.095039015840215e-07
